#{"t_start": 1768076609.8637335, "env_id": "None"}
r,l,t
-3.383,82,1.090382
-3.375,110,1.795067
--3.656,74,2.272113
--4.127,93,2.855442
--4.018,117,3.604997
-3.226,89,6.743433
-3.999,111,7.470318
-3.663,67,7.974747
-4.137,78,8.496116
-3.642,83,9.023179
-3.385,90,9.607167
-3.268,62,12.036679
-3.827,113,12.760365
-3.444,106,13.447033
-3.974,131,14.289396
-3.408,72,14.754854
-3.251,104,18.001732
-3.317,108,18.69973
-3.793,92,19.293509
-3.776,104,19.963907
-4.021,94,20.560516
-3.892,113,23.32652
-3.914,116,24.075802
-3.889,71,24.526782
-3.072,98,25.160951
-3.957,88,25.716553
-3.651,104,28.576002
-3.428,67,29.148023
-3.477,53,29.621224
-3.603,112,30.54721
-3.575,95,31.149616
-3.48,80,31.66667
-3.965,70,32.11072
-3.478,132,35.02618
-3.338,117,35.789568
-3.061,84,36.342096
-3.978,102,37.021912
-3.49,65,37.457045
-3.96,75,40.096081
-3.633,137,41.297433
-4.006,99,42.232256
-3.87,125,43.158082
-4.103,87,43.742972
-4.019,76,46.355935
-3.884,76,46.866326
-3.602,98,47.560613
-3.961,64,48.019319
-3.389,131,48.896848
-4.072,103,51.642693
-3.304,121,52.401324
-4.009,106,53.406797
-3.365,80,54.118642
-3.451,179,55.49466
-4.083,87,58.07456
-3.949,106,58.758929
-3.77,130,59.607385
-4.009,101,60.268157
-3.135,175,63.428047
-3.368,117,64.171356
-3.76,90,64.752838
-3.481,104,65.675215
-3.935,85,66.421724
-4.059,91,69.266902
-4.084,91,69.866349
-4.088,77,70.362918
-3.739,106,71.05822
-3.669,96,71.668753
-3.788,117,74.490195
-3.389,101,75.157378
-3.534,111,75.876136
-3.423,202,77.276831
-3.909,86,80.365689
-3.428,107,81.055606
-3.705,110,81.747944
-3.89,100,82.394145
-3.904,91,82.975661
-3.687,118,85.780979
-3.12,85,86.331931
-3.793,107,87.011629
-3.632,103,87.683594
-3.307,113,88.417185
-3.323,102,91.623216
-4.089,66,92.043543
-3.629,146,92.981334
-3.838,117,93.729557
-3.94,110,94.429666
-3.647,103,97.132719
-3.757,113,97.859615
-4.046,99,98.554987
-4.042,93,99.171157
-2.999,111,99.889689
-3.401,104,103.055277
-2.961,74,103.655116
-3.624,111,104.381202
-3.635,110,105.092379
-4.044,106,105.770253
-3.748,132,108.718392
-4.027,108,109.414438
-3.638,112,110.125815
-2.891,109,110.812608
-3.27,90,111.403577
-3.201,119,114.537857
-3.854,121,115.657765
-3.856,114,116.416112
-3.353,122,117.200897
-3.311,104,119.919933
-3.621,114,120.658469
-3.624,116,121.398606
-3.347,193,122.659797
-3.626,109,125.37862
-3.542,128,126.378109
-3.948,107,127.346965
-3.976,109,128.277021
-3.698,102,130.935288
-3.952,118,131.672246
-3.285,110,132.379512
-3.492,108,133.067176
-3.968,117,133.801507
-3.378,107,136.574451
-3.069,116,137.343239
-3.465,105,138.105277
-3.893,107,139.052459
-3.63,110,140.076785
-3.306,109,142.86899
-3.69,120,143.638433
-3.71,115,144.359488
-3.799,116,145.11394
-3.697,103,147.827147
-3.905,150,148.802182
-3.778,52,149.130093
-3.835,125,149.931863
-3.442,118,150.892416
-3.029,131,154.146622
-3.813,107,154.828551
-3.134,61,155.221123
-3.97,115,155.961136
-3.196,134,158.894572
-3.252,118,159.662211
-3.717,143,160.586662
-2.58,115,161.327869
-3.958,112,162.045232
-2.863,127,165.383837
-3.788,107,166.058271
-3.396,109,166.757596
-3.661,94,167.388891
-3.936,124,170.221596
-3.586,129,171.03987
-3.656,119,171.794549
-3.709,106,172.484885
-3.388,142,175.723929
-3.641,119,176.785953
-3.347,113,177.50501
-2.812,68,177.951017
-3.902,108,178.631624
-3.314,131,181.535276
-3.552,138,182.412302
-3.888,102,183.068418
-3.743,92,183.647059
-3.925,85,184.194236
-3.229,51,184.51317
-3.306,64,187.154844
-4.141,89,187.914563
-2.605,105,188.948444
-3.452,68,189.382075
-3.236,69,189.843195
-3.94,75,190.328595
-2.798,247,193.947322
-3.802,108,194.647517
-2.772,98,195.31623
-3.664,131,198.244865
-3.524,166,199.508443
-3.629,121,200.635005
-2.91,65,201.224112
-3.63,110,201.932009
-3.619,76,204.458191
-3.733,107,205.162233
-3.388,122,205.954012
-3.371,119,206.710124
-3.811,109,207.386899
-3.489,106,210.106563
-3.764,121,210.884928
-3.828,107,211.733293
-3.646,134,212.960921
-3.628,122,215.888446
-3.499,171,216.98583
-3.773,117,217.740695
-3.548,117,218.514569
-3.967,108,221.354197
-2.913,67,221.773571
-3.619,151,222.744513
-3.273,82,223.278824
-3.975,85,224.041809
-3.62,115,227.291783
-3.627,118,228.112312
-3.699,86,228.673426
-3.805,100,229.366836
-3.438,77,229.863244
-3.579,121,232.730265
-3.604,116,233.481058
-3.879,86,234.038434
-3.48,70,234.487441
-4.058,82,235.021552
-4.012,103,235.77611
-3.252,113,239.067151
-4.016,99,239.73246
-3.522,98,240.386222
-2.952,113,241.114516
-4.077,108,243.906468
-4.052,68,244.349174
-3.273,102,244.991194
-3.831,89,245.564202
-3.47,200,246.837883
-3.992,118,250.176301
-3.578,127,250.993225
-3.436,99,251.640895
-3.733,102,252.290643
-3.381,114,255.168218
-3.059,106,255.853589
-3.454,146,256.789269
-3.742,108,257.481618
-3.759,116,258.23925
-3.042,183,262.20978
-3.242,113,262.951639
-3.729,96,263.577549
-2.707,113,264.309329
-2.739,106,267.076585
-3.725,125,267.88227
-3.651,109,268.593334
-3.512,108,269.314044
-3.767,113,272.157445
-3.516,114,273.193622
-3.234,121,274.310027
-4.119,101,275.047473
-3.598,122,275.874351
.873269
-4.005,100,275.565074
