#{"t_start": 1768076332.7801077, "env_id": "None"}
r,l,t
-1.2235,70,1.608033
-0.913,67,2.246522
-1.332,77,2.85313
-0.8425,78,3.385753
-1.467,74,3.874392
-1.29,63,4.316728
-0.921,105,7.059137
-0.883,110,7.82804
-1.4435,58,8.231976
-1.3155,54,8.584762
-1.186,91,9.174894
-1.8215,76,9.686794
-1.0945,90,10.291814
-1.415,93,13.161587
-1.7045,61,13.824102
-1.3765,82,14.604396
-0.952,84,15.252235
-0.856,104,15.947861
-0.8355,85,16.545401
-0.882,88,19.155929
-1.1245,70,19.610757
-0.8415,79,20.109304
-0.9805,105,20.791021
-1.0145,104,21.483547
-1.31,99,24.197887
-1.116,95,24.830638
-1.393,82,25.568834
-0.4945,109,26.545401
-0.656,106,27.414604
-1.1435,74,27.872701
-0.5285,85,30.471886
-0.6855,93,31.085052
-0.8915,95,31.684307
-1.4115,80,32.203601
-0.6755,103,32.849854
-1.0535,75,33.340534
-0.5735,106,36.070131
-0.854,60,36.46336
-0.721,107,37.154022
-0.5145,122,38.257505
-0.4465,101,39.20584
-1.2655,94,41.880946
1.09,218,43.260464
0.256,130,44.131648
-0.679,116,46.954713
-0.908,95,47.551623
-0.2425,97,48.180565
-1.1285,89,48.756365
-0.1085,122,49.632833
2.508,266,53.904909
-1.1125,105,54.575579
-0.245,111,55.299045
-0.6325,113,56.049108
-0.173,117,58.799466
-0.44,114,59.529556
0.215,122,60.315474
-0.215,108,61.002145
-0.7975,113,64.274305
0.1905,147,65.201879
-0.28,109,65.898619
1.2945,198,67.15398
2.053,227,70.737771
-0.84,97,71.352035
0.3715,130,72.179847
-0.4585,112,75.371895
-1.1535,97,76.14054
-0.5455,101,76.79783
-0.6385,107,77.489069
0.502,145,78.416816
1.5815,211,81.778144
-0.2625,110,82.48491
2.6465,256,86.331364
-0.1095,121,87.419883
1.721,202,88.89641
-0.098,116,89.641824
1.5915,221,93.064144
2.289,255,94.677682
3.924,299,98.822792
4.7265,329,103.355093
3.5795,301,105.29312
0.07,119,106.058494
3.0915,295,109.97525
3.905,303,114.60937
3.641,280,116.397061
2.1725,221,119.864527
3.23,242,121.404306
2.106,237,125.528844
2.775,203,126.830385
1.4955,201,128.10138
1.653,200,131.452893
1.449,227,132.894877
1.121,206,136.841411
3.2,278,138.610512
2.0905,192,139.843973
3.941,306,143.865593
-0.4525,118,144.62922
1.626,206,148.43387
1.874,213,150.001745
0.821,134,150.850873
1.548,171,153.974766
3.23,285,155.816156
2.711,271,159.975991
1.005,166,161.403057
1.8355,201,164.72078
0.9305,174,165.819051
3.243,288,167.624692
2.7255,213,171.046567
3.548,286,173.540173
0.7525,115,176.333854
-1.062,106,177.010089
1.8605,216,178.385629
1.7975,196,181.695942
0.8255,122,182.468539
0.1175,104,183.131897
0.3615,120,184.148835
0.656,157,187.587198
2.1015,203,188.870476
2.18,245,190.440778
1.134,153,193.491472
2.6515,261,195.202973
2.096,227,199.222087
1.495,207,200.555231
1.8095,208,203.976408
3.023,243,205.547664
0.9715,149,206.509529
3.185,296,210.959193
2.489,214,212.323859
0.9355,179,215.506733
1.199,185,216.703373
1.368,156,217.701558
1.15,146,220.980128
1.716,164,222.360546
1.912,185,223.530023
2.39,224,227.01726
1.2045,141,227.913876
1.537,183,229.095606
2.544,236,233.013579
3.982,314,235.380182
0.6755,127,238.242835
5.186,310,240.216833
3.547,285,244.010722
2.4845,269,246.332899
0.428,137,249.312712
2.6005,243,250.83604
2.25,216,254.265335
3.879,277,256.064905
2.4525,227,260.193936
0.351,126,260.997972
4.48,274,262.734572
3.865,263,266.460299
3.622,261,268.13841
4.951,273,272.390665
5.141,321,274.423584
